mode,cyc,and4_A,and4_B,and4_C,and4_D,and4_X
one_at_10,120,0,0,0,0,0
ones_1_12,0,0,0,0,1,0
ones_1_12,1,0,0,0,1,0
ones_1_12,2,0,0,0,1,0
ones_1_12,3,0,0,0,1,0
ones_1_12,4,0,0,0,1,0
ones_1_12,5,0,0,0,1,0
ones_1_12,6,0,0,0,1,0
ones_1_12,7,0,0,0,1,0
ones_1_12,8,0,0,0,1,0
ones_1_12,9,0,0,0,1,0
ones_1_12,10,0,0,0,1,0
ones_1_12,11,0,0,0,1,0
ones_1_12,12,0,0,0,1,0
ones_1_12,13,0,0,0,1,0
ones_1_12,14,0,0,0,1,0
ones_1_12,15,0,0,0,1,0
ones_1_12,16,0,0,0,1,0
ones_1_12,17,0,0,0,1,0
ones_1_12,18,0,0,0,1,0
ones_1_12,19,0,0,0,1,0
ones_1_12,20,0,0,0,1,0
ones_1_12,21,0,0,0,1,0
ones_1_12,22,0,0,0,1,0
ones_1_12,23,0,0,0,1,0
ones_1_12,24,0,0,0,1,0
ones_1_12,25,0,0,0,1,0
ones_1_12,26,0,0,0,1,0
ones_1_12,27,0,0,0,1,0
ones_1_12,28,0,0,0,1,0
ones_1_12,29,0,0,0,1,0
ones_1_12,30,0,0,0,1,0
ones_1_12,31,0,0,0,1,0
ones_1_12,32,0,0,0,1,0
ones_1_12,33,0,0,0,1,0
ones_1_12,34,0,0,0,1,0
ones_1_12,35,0,0,0,1,0
ones_1_12,36,0,0,0,1,0
ones_1_12,37,0,0,0,1,0
ones_1_12,38,0,0,0,1,0
ones_1_12,39,0,0,0,1,0
ones_1_12,40,0,0,0,1,0
ones_1_12,41,0,0,0,1,0
ones_1_12,42,0,0,0,1,0
ones_1_12,43,0,0,0,1,0
ones_1_12,44,0,0,0,1,0
ones_1_12,45,0,0,0,1,0
ones_1_12,46,0,0,0,1,0
ones_1_12,47,0,0,0,1,0
ones_1_12,48,0,0,0,1,0
ones_1_12,49,0,0,0,1,0
ones_1_12,50,0,0,0,1,0
ones_1_12,51,0,0,0,1,0
ones_1_12,52,0,0,0,1,0
ones_1_12,53,0,0,0,1,0
ones_1_12,54,0,0,0,1,0
ones_1_12,55,0,0,0,1,0
ones_1_12,56,0,0,0,1,0
ones_1_12,57,0,0,0,1,0
ones_1_12,58,0,0,0,1,0
ones_1_12,59,0,0,0,1,0
ones_1_12,60,0,0,0,1,0
ones_1_12,61,0,0,0,1,0
ones_1_12,62,0,0,0,1,0
ones_1_12,63,0,0,0,1,0
ones_1_12,64,0,0,0,1,0
ones_1_12,65,0,0,0,1,0
ones_1_12,66,0,0,0,1,0
ones_1_12,67,0,0,0,1,0
ones_1_12,68,0,0,0,1,0
ones_1_12,69,0,0,0,1,0
ones_1_12,70,0,0,0,1,0
ones_1_12,71,0,0,0,1,0
ones_1_12,72,0,0,0,1,0
ones_1_12,73,0,0,0,1,0
ones_1_12,74,0,0,0,1,0
ones_1_12,75,0,0,0,1,0
ones_1_12,76,0,0,0,1,0
ones_1_12,77,0,0,0,1,0
ones_1_12,78,0,0,0,1,0
ones_1_12,79,0,0,0,1,0
ones_1_12,80,0,0,0,1,0
ones_1_12,81,0,0,0,1,0
ones_1_12,82,0,0,0,1,0
ones_1_12,83,0,0,0,1,0
ones_1_12,84,0,0,0,1,0
ones_1_12,85,0,0,0,1,0
ones_1_12,86,0,0,0,1,0
ones_1_12,87,0,0,0,1,0
ones_1_12,88,0,0,0,1,0
ones_1_12,89,0,0,0,1,0
ones_1_12,90,0,0,0,1,0
ones_1_12,91,0,0,0,1,0
ones_1_12,92,0,0,0,1,0
ones_1_12,93,0,0,0,1,0
ones_1_12,94,0,0,0,1,0
ones_1_12,95,0,0,0,1,0
ones_1_12,96,0,0,0,1,0
ones_1_12,97,0,0,0,1,0
ones_1_12,98,0,0,0,1,0
ones_1_12,99,0,0,0,1,0
ones_1_12,100,0,0,0,1,0
ones_1_12,101,0,0,0,1,0
ones_1_12,102,0,0,0,1,0
ones_1_12,103,0,0,0,1,0
ones_1_12,104,0,0,0,1,0
ones_1_12,105,0,0,0,1,0
ones_1_12,106,0,0,0,1,0
ones_1_12,107,0,0,0,1,0
ones_1_12,108,0,0,0,1,0
ones_1_12,109,0,0,0,0,0
ones_1_12,110,0,0,0,0,0
ones_1_12,111,0,0,0,0,0
ones_1_12,112,0,0,0,0,0
ones_1_12,113,0,0,0,0,0
ones_1_12,114,0,0,0,0,0
ones_1_12,115,0,0,0,0,0
ones_1_12,116,0,0,0,0,0
ones_1_12,117,0,0,0,0,0
ones_1_12,118,0,0,0,0,0
ones_1_12,119,0,0,0,0,0
ones_1_12,120,1,0,0,1,0
